Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Duration,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1060.5713509982097,2009-04-30,94.2888,0.0,2009-06-08,39,96.0668,0.0,1885.6958620748337,0.02,Long,Closed,0
1,0,1065.5203571413986,2009-06-16,95.6206,0.0,2009-08-04,49,96.7395,0.0,1192.2107276055322,0.01,Long,Closed,1
2,0,1066.0261546749769,2009-08-13,96.6936,0.0,2009-09-22,40,97.3523,0.0,702.1914280843921,0.01,Long,Closed,2
3,0,1071.4321643855453,2009-09-30,96.8611,0.0,2009-10-20,20,97.1021,0.0,258.2151516169106,0.0,Long,Closed,3
4,0,1073.1473948045957,2009-10-21,96.9469,0.0,2010-01-06,77,98.2601,0.0,1409.257158857392,0.01,Long,Closed,4
5,0,1076.147154683405,2010-01-15,97.9862,0.0,2010-04-12,87,98.2462,0.0,279.7982602176926,0.0,Long,Closed,5
6,0,1082.4238029460182,2010-05-04,97.6765,0.0,2011-06-06,398,99.3988,0.0,1864.2585158139118,0.02,Long,Closed,6
7,0,1083.4069466719968,2011-06-08,99.3086,0.0,2011-08-15,68,98.964,0.0,-373.3420338231663,-0.0,Long,Closed,7
8,0,1089.8482001812124,2011-08-19,98.3791,0.0,2011-09-08,20,98.357,0.0,-24.085645224011387,-0.0,Long,Closed,8
9,0,1093.2092877358482,2011-09-09,98.0546,0.0,2011-10-28,49,99.3057,0.0,1367.7141398863314,0.01,Long,Closed,9
10,0,1096.6680664202825,2011-10-31,98.9925,0.0,2012-02-03,95,100.5091,0.0,1663.2067895329965,0.02,Long,Closed,10
11,0,1098.6947287095952,2012-02-10,100.3237,0.0,2012-03-21,40,101.158,0.0,916.6410121624212,0.01,Long,Closed,11
12,0,1100.6793855823114,2012-03-22,100.9756,0.0,2012-12-18,271,102.1105,0.0,1249.1610346973757,0.01,Long,Closed,12
13,0,1100.9931525380982,2012-12-19,102.0814,0.0,2013-01-08,20,102.3285,0.0,272.0554079921567,0.0,Long,Closed,13
