model_name,iteration,train_r2,test_r2,overfitting,test_rmse,test_mae,test_mape,directional_accuracy,correlation
Ultra Robust Ultra Random Forest,7,0.6785644800922994,0.40842164291911665,0.27014283717318277,0.9505851781598847,0.8162529578476995,1.3546262376219846,19.35483870967742,0.9160180612245995
Ultra Robust Ultra Random Forest,7,0.681578369576811,-0.06268433861459766,0.7442627081914086,0.8867059104021675,0.7180588721121828,1.2219060225265315,22.58064516129032,0.21306241928014474
Ultra Robust Ultra Random Forest,7,0.6907072045199216,-0.4685363230656403,1.159243527585562,1.7963890009259083,1.3681659245554578,2.4328558930203243,19.35483870967742,0.6689536162873083
Ultra Robust Ultra Ridge,7,0.8525879831577026,0.3269599148925023,0.5256280682652003,1.015988778710874,0.8192090743377971,1.4661706510350343,53.2258064516129,0.8875302920322515
Ultra Robust Ultra Random Forest,7,0.72797397325054,0.027500145424643185,0.7004738278258968,3.5489756777980594,3.1527313193640523,5.451806376189968,19.35483870967742,0.5657148767010685
Ultra Robust Ultra Random Forest,7,0.7332846315360306,0.10695823571946994,0.6263263958165607,5.0360772972830645,4.476893515256744,7.1298760974885464,29.03225806451613,0.8084062027910189
Ultra Robust Ultra Elastic Net,7,0.2781266453976585,-1.200007016354944,1.4781336617526024,5.897802004878132,5.624594293054182,8.556012230770541,50.0,0.03558829389114636
Ultra Robust Ultra Elastic Net,7,0.2660655400966373,-4.817034712126917,5.083100252223554,10.400528039012634,9.44126943322601,13.153996173881803,50.0,-0.1745187243541941
Ultra Robust Ultra Ridge,7,0.9404180508225787,-1.1922288743822955,2.1326469252048743,14.197099708014054,12.221742498617559,14.885690422289223,54.83870967741935,0.7889229509950453
Ultra Robust Ultra Ridge,7,0.9391991747682562,-1.4566541131123558,2.395853287880612,18.860037415667644,17.05354165228367,18.215540752948815,56.451612903225815,0.861963219810185
Ultra Robust Ultra Ridge,7,0.9427445613136913,-4.799924330394255,5.742668891707947,19.04575132187149,18.218065328387407,18.200368833712012,56.451612903225815,0.8227014970506255
Ultra Robust Ultra Ridge,7,0.9647071526747596,-5.218552660931519,6.183259813606279,16.00450147770917,14.642725243128487,13.756037545966787,54.83870967741935,0.3166776780510324
Ultra Robust Ultra Ridge,7,0.982334109192745,-0.004544983098823785,0.9868790922915688,15.367267217300718,13.286026616120298,10.97568583676746,62.903225806451616,0.8937543392349178
Ultra Robust Ultra Ridge,7,0.9867896508198912,-0.18165350147918047,1.1684431522990717,15.132362239597084,13.969887528020605,10.790785994938577,64.51612903225806,0.9185265043162267
Ultra Robust Ultra Ridge,7,0.9896268430719939,-0.31792186828622326,1.3075487113582172,7.384377142839068,6.120849457767286,4.3858960585520395,59.67741935483871,0.7859739994929849
Ultra Robust Ultra Elastic Net,7,0.9316535963591868,0.6786533330729666,0.25300026328622016,5.6836327548154815,5.055155774555815,3.45461839016754,58.06451612903226,0.9307489058575564
Ultra Robust Ultra Elastic Net,7,0.94795358727599,-0.02919355274623725,0.9771471400222272,12.941236041843485,10.852929527476276,6.556461793372994,53.2258064516129,0.9569110770305977
Ultra Robust Ultra Ridge,7,0.9940385628550382,0.4195201165528739,0.5745184463021643,7.589696998758627,6.070215290057418,3.5644793338868523,51.61290322580645,0.928857370327893
Ultra Robust Ultra Ridge,7,0.9953693564814458,0.42444047225734527,0.5709288842241005,5.590474150792119,3.9900774273119906,2.322291732582839,43.54838709677419,0.8858817087849515
Ultra Robust Ultra Ridge,7,0.9959943400895418,0.5140024996887447,0.4819918404007971,4.397878998683569,3.443923872055622,2.0405050158339426,48.38709677419355,0.807635952358863
Ultra Robust Ultra Ridge,7,0.9957327896669561,0.7212602130088872,0.2744725766580689,3.2398574143487084,2.3982708259632397,1.4049730792816426,50.0,0.9065159507891182
Ultra Robust Ultra Ridge,7,0.9957423552212402,0.26730352472986496,0.7284388304913753,8.602575715675721,5.724790393803963,3.0646475496566357,43.54838709677419,0.5539612359419884
Ultra Robust Ultra Ridge,7,0.9957108947424322,0.2355055895036654,0.7602053052387668,21.258841107928507,15.195951902999887,7.0199845906468425,45.16129032258064,0.8244939373453715
Ultra Robust Ultra Ridge,7,0.9957185830565416,0.49768592036534054,0.49803266269120106,32.18309019570275,27.043623398171132,10.984138144283719,50.0,0.9119177610459057
Ultra Robust Ultra Ridge,7,0.9944316680924826,0.30187208252473097,0.6925595855677517,33.044878359127914,28.411118360447375,10.431952190016904,61.29032258064516,0.9158364507808161
Ultra Robust Ultra Ridge,7,0.993057576917188,0.3368419413579976,0.6562156355591904,28.20694155027703,22.580699027870686,6.674266612359976,51.61290322580645,0.8503590891795043
Ultra Robust Ultra Lasso,7,0.9145793590500907,0.6901107582450592,0.2244686008050315,17.988085445452914,15.787437073886968,4.550907866146452,46.774193548387096,0.912988030558867
Ultra Robust Ultra Lasso,7,0.92970116349921,-1.4386278069679257,2.3683289704671355,27.42226974142763,19.201118012174167,5.159311671764427,53.2258064516129,0.23574192522297782
Ultra Robust Ultra Lasso,7,0.9475250111193233,-2.0846193436823595,3.032144354801683,27.313232942325826,24.802486936559713,6.871584064080463,58.06451612903226,0.6547479020022328
Ultra Robust Ultra Elastic Net,7,0.962030081265857,-1.0078437798780642,1.9698738611439213,22.116298769397552,11.339757639558782,3.346324240921681,50.0,0.6780646921706047
