Date,EnsembleProb,FinalSig,FwdRet_1m
2007-10-31,0.12150308662995105,0,-0.018462883244021344
2007-11-30,0.8450013409583934,1,0.0029131829597663916
2007-12-31,0.1459118570141515,0,-0.006201510000000021
2008-01-31,0.060377374015599686,0,-0.005636756401189547
2008-02-29,0.061173719874065585,0,-0.012918865372843813
2008-03-31,0.8662639097088533,1,0.006941172455467326
2008-04-30,0.8570435014061624,1,0.004562976695990706
2008-05-31,0.15135887297543393,0,-0.0028538151119910093
2008-06-30,0.13881693542983073,0,-0.0013835103242472169
2008-07-31,0.1824239748369471,0,-0.010551989672935136
2008-08-31,0.09564142485653743,0,-0.02267625889571212
2008-09-30,0.06893795085129634,0,-0.02848499650850289
2008-10-31,0.11246839600244034,0,-0.011210247965497966
2008-11-30,0.1307361999803384,0,-0.03330122178342665
2008-12-31,0.873125559592263,1,0.015079309999999957
2009-01-31,0.9276976944830836,1,0.0017555574056571377
2009-02-28,0.9250404982191506,1,0.007071544287444276
2009-03-31,0.8928826330584355,1,0.022390725581428628
2009-04-30,0.9002416026617208,1,0.03197252627384328
2009-05-31,0.934545504893928,1,0.018297236954659013
2009-06-30,0.9764238455007084,1,0.02458638952151415
2009-07-31,0.9942581034352561,1,0.005903532263741074
2009-08-31,0.9891732805439282,1,0.0036564045566556125
2009-09-30,0.9745415586197942,1,0.012013581014528096
2009-10-31,0.9470665045712291,1,0.0003233081892053402
2009-11-30,0.96660807837746,1,0.004131481835691231
2009-12-31,0.9516991552821402,1,0.008355890000000255
2010-01-31,0.9101242487456577,1,0.0023207877528239607
2010-02-28,0.899709325096572,1,0.004762401025265817
2010-03-31,0.2225577473668095,0,-0.0035378106442164325
2010-04-30,0.19122356809253316,0,-0.014966152402678401
2010-05-31,0.8894349324845724,1,0.003618610040931669
2010-06-30,0.891503722015939,1,0.006914618253343052
2010-07-31,0.2062744882614972,0,-0.0053049231586652645
2010-08-31,0.9010226041978421,1,0.00921199110013915
2010-09-30,0.21024200252953956,0,-0.0004230788153769538
2010-10-31,0.9438258992697031,1,0.0003946851845213484
2010-11-30,0.9528792545771715,1,0.00444545596210788
2010-12-31,0.9164318085203926,1,0.005370450000000027
2011-01-31,0.9129657977584525,1,0.004852022456001137
2011-02-28,0.1780694155767499,0,-0.005335934515044438
2011-03-31,0.9070301033032034,1,0.0035086254135174855
2011-04-30,0.9356993323404622,1,0.00023462301914922712
2011-05-31,0.18233034498595116,0,-0.0012489240622661768
2011-06-30,0.9026035113072887,1,0.00036355406755683717
2011-07-31,0.14567679046331375,0,-0.01715059234660965
2011-08-31,0.1442781454524251,0,-0.001661861412401211
2011-09-30,0.8304101101256736,1,0.0029737126592190855
2011-10-31,0.1943855683661679,0,-0.0043099386267354545
2011-11-30,0.8876323558034596,1,0.00463274755955867
2011-12-31,0.9388204719127307,1,0.007149979999999889
2012-01-31,0.9449558087227651,1,0.005733932497322902
2012-02-29,0.8888329309205079,1,0.007386697598344094
2012-03-31,0.19728572098135108,0,-0.0028070071799185525
2012-04-30,0.211286554809695,0,-0.007127385768218919
2012-05-31,0.8799838274544767,1,0.0009879931845730994
2012-06-30,0.9281353669367846,1,0.006942993806129394
2012-07-31,0.9459477374184094,1,0.007202964441374915
2012-08-31,0.9081728374769333,1,0.0055923066929362
2012-09-30,0.9000366534009099,1,0.0028570445977129655
2012-10-31,0.9354111827919329,1,0.0029978812216640005
2012-11-30,0.9405107553335472,1,0.00367285261908723
2012-12-31,0.9278042808710656,1,0.005325279999999877
2013-01-31,0.8787609811578876,1,0.0028561899885775066
2013-02-28,0.9214834823881619,1,0.003526375429048212
2013-03-31,0.2049513783023771,0,-0.0003529521207944475
2013-04-30,0.8712684970718286,1,0.004314239841005207
2013-05-31,0.1895318142158599,0,-0.0039053780374866953
2013-06-30,0.8931635174467776,1,0.0030570433623200444
2013-07-31,0.21675127002114816,0,-0.0008838937454187512
2013-08-31,0.13615130568892925,0,-0.0003522134565424606
2013-09-30,0.9328502051205694,1,0.002869083700581143
2013-10-31,0.9390630311440524,1,0.003440509376512191
2013-11-30,0.9597645229283098,1,0.002561762927859368
2013-12-31,0.9412948057521886,1,0.001968600000000098
2014-01-31,0.9113617794918524,1,0.0034953490558486955
2014-02-28,0.9534061930363937,1,0.0027458678239327128
2014-03-31,0.9639430772830939,1,0.0011831208801880155
2014-04-30,0.9441123209697853,1,0.0017316697400018288
2014-05-31,0.9416916800829194,1,0.0011767526486603508
2014-06-30,0.8553129448857039,1,0.0009709269447730762
2014-07-31,0.14913090440619473,0,-0.0006257096543782481
2014-08-31,0.10630339413735632,0,-0.00022122789698408862
2014-09-30,0.0676516280971272,0,-0.003276732458767806
2014-10-31,0.7616244872432926,1,0.0017122988191331512
2014-11-30,0.16761492543558848,0,-0.0021595954842708043
2014-12-31,0.16340806084742654,0,-0.0020954899999999776
2015-01-31,0.7888502080978043,1,0.004086272743671682
2015-02-28,0.8987141471643593,1,0.0013620201763659967
2015-03-31,0.9095587347046258,1,0.0027091825286273963
2015-04-30,0.9137523024154246,1,0.0002529855943036452
2015-05-31,0.22438274753999765,0,-0.003702521140125592
2015-06-30,0.10592202454096533,0,-0.003403302547884346
2015-07-31,0.13182185826634119,0,-0.0059253689664399145
2015-08-31,0.09625296346547449,0,-0.00023399687216185683
2015-09-30,0.8618260270070865,1,0.0005695504959815079
2015-10-31,0.9066720367037449,1,0.004339497519258995
2015-11-30,0.15173966256161786,0,-0.004760939407118525
2015-12-31,0.11327143072702417,0,-0.009392210000000012
