Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0.9656076071958378,2010-05-07,103.56173590057342,0.0,2010-05-14,103.78939519670732,0.0,0.21982954819573308,0.0021982954819573307,Long,Closed,0
1,0,0.9719701291885232,2010-05-28,103.10998922556097,0.0,2010-06-04,103.24750235047716,0.0,0.1336586497899077,0.0013336547307300224,Long,Closed,1
2,0,0.9734570163499842,2010-06-11,103.08979904861648,0.0,2010-07-16,103.91268582224812,0.0,0.8010449034533167,0.007982232783707022,Long,Closed,2
3,0,0.9750370016503488,2010-07-23,103.74430193954144,0.0,2010-07-30,104.1986502281934,0.0,0.44300639307216727,0.004379501140378111,Long,Closed,3
4,0,0.9804507384548922,2010-08-27,103.62329845823798,0.0,2010-10-08,104.6757034145682,0.0,1.0318312165875483,0.010156065016154191,Long,Closed,4
5,0,0.9825235562259313,2010-10-22,104.45487038022632,0.0,2010-11-19,105.09549834322031,0.0,0.6294320644186229,0.006133059766979103,Long,Closed,5
6,0,0.9850285786253893,2010-11-26,104.8282303845593,0.0,2010-12-03,104.83780101254835,0.0,0.009427342084606494,9.129819280494041e-05,Long,Closed,6
7,0,0.987977727985232,2010-12-10,104.52485637322538,0.0,2011-01-07,105.3150415226222,0.0,0.7806853285887456,0.007559782206974021,Long,Closed,7
8,0,0.9885303827429255,2011-01-14,105.25616335380693,0.0,2011-01-28,105.70836147452992,0.0,0.4470115813539337,0.0042961676192108675,Long,Closed,8
9,0,0.9903025015822655,2011-02-04,105.51919929575578,0.0,2011-02-18,106.07637708326182,0.0,0.5517745567933048,0.005280345105200702,Long,Closed,9
10,0,0.9941494165371991,2011-03-18,105.66590880296232,0.0,2011-03-25,105.64992561953972,0.0,-0.01588967247398898,-0.0001512614958189438,Long,Closed,10
11,0,0.9947977333933957,2011-04-01,105.58107280118696,0.0,2011-04-15,106.07326092457969,0.0,0.4896276295542208,0.004661707921073337,Long,Closed,11
12,0,0.9962291049750609,2011-04-22,105.92085597023356,0.0,2011-04-29,105.94346755727238,0.0,0.02252632111775199,0.00021347624914565543,Long,Closed,12
13,0,0.9978147994167706,2011-05-06,105.77510568517025,0.0,2011-05-13,106.0260793824024,0.0,0.25042526936258014,0.002372710436982657,Long,Closed,13
14,0,0.9991599333635105,2011-05-20,105.88334019335495,0.0,2011-05-27,105.93228994020586,0.0,0.04890862580171529,0.0004622988542061628,Long,Closed,14
15,0,1.003655411931519,2011-06-17,105.4578080279629,0.0,2011-07-08,105.89804581475548,0.0,0.4418470372511223,0.004174539515138063,Long,Closed,15
16,0,1.0050522228942707,2011-07-15,105.7508698293106,0.0,2011-07-22,106.1136732791679,0.0,0.3646364137527911,0.003430737264316522,Long,Closed,16
17,0,1.0232378809013434,2011-09-02,104.22775114107296,0.0,2011-09-09,104.22378187354056,0.0,-0.004061504898572821,-3.8082636235882635e-05,Long,Closed,17
18,0,1.0285090219099349,2011-09-23,103.68963172123182,0.0,2011-09-30,103.88571437783445,0.0,0.20167278135586741,0.0018910536506657727,Long,Closed,18
19,0,1.0342808417132368,2011-10-21,103.3059785852494,0.0,2011-10-28,104.23498260439364,0.0,0.9608510588754768,0.008992742064561217,Long,Closed,19
20,0,1.0414429783954624,2011-11-25,103.51814528543424,0.0,2011-12-09,104.09439614937844,0.0,0.6001324160489929,0.005566665267767989,Long,Closed,20
21,0,1.042399722903676,2011-12-16,103.99885531253484,0.0,2011-12-23,104.24263011587286,0.0,0.25411078745044335,0.002344014293286472,Long,Closed,21
