Date,perfect_foresight_equity
2007-10-31,1.0
2007-11-30,1.0
2007-12-31,1.0029131829597664
2008-01-31,1.0029131829597664
2008-02-29,1.0029131829597664
2008-03-31,1.0029131829597666
2008-04-30,1.009874576320552
2008-05-31,1.0144826104781763
2008-06-30,1.0144826104781763
2008-07-31,1.0144826104781763
2008-08-31,1.0144826104781763
2008-09-30,1.0144826104781763
2008-10-31,1.0144826104781763
2008-11-30,1.0144826104781763
2008-12-31,1.0144826104781763
2009-01-31,1.029780308251186
2009-02-28,1.0315881466975363
2009-03-31,1.0388830679633105
2009-04-30,1.0621444136492697
2009-05-31,1.0961038538212868
2009-06-30,1.1161595257615697
2009-07-31,1.1436018586300922
2009-08-31,1.1503531490993892
2009-09-30,1.1545593055955194
2009-10-31,1.1684296973493684
2009-11-30,1.1688074602390321
2009-12-31,1.1736363670304302
2010-01-31,1.1834431434133361
2010-02-28,1.1861896637667333
2010-03-31,1.1918387746376158
2010-04-30,1.1918387746376158
2010-05-31,1.1918387746376158
2010-06-30,1.196151574394691
2010-07-31,1.204422505904766
2010-08-31,1.2044225059047662
2010-09-30,1.2155176353099681
2010-10-31,1.2155176353099684
2010-11-30,1.2159973821121497
2010-12-31,1.2214030449243674
2011-01-31,1.2279625289069815
2011-02-28,1.2339206306723662
2011-03-31,1.2339206306723662
2011-04-30,1.2382499959554067
2011-05-31,1.2385405179079194
2011-06-30,1.2385405179079192
2011-07-31,1.2389907943510385
2011-08-31,1.2389907943510385
2011-09-30,1.2389907943510388
2011-10-31,1.2426751969608563
2011-11-30,1.2426751969608563
2011-12-31,1.2484321974469008
2012-01-31,1.257358462690002
2012-02-29,1.264568071240004
2012-03-31,1.2739090531747752
2012-04-30,1.2739090531747752
2012-05-31,1.2739090531747752
2012-06-30,1.2751676666370781
2012-07-31,1.2840211478483157
2012-08-31,1.2932699065182405
2012-09-30,1.3005022684722354
2012-10-31,1.3042178614526874
2012-11-30,1.3081277516884953
2012-12-31,1.312932312127385
2013-01-31,1.3199240443105107
2013-02-28,1.3236939981515532
2013-03-31,1.3283618401422135
2013-04-30,1.3283618401422135
2013-05-31,1.3340927117162258
2013-06-30,1.3340927117162258
2013-07-31,1.3381710909852975
2013-08-31,1.3381710909852975
2013-09-30,1.3381710909852975
2013-10-31,1.3420104158510324
2013-11-30,1.3466276152701449
2013-12-31,1.3500773559725756
2014-01-31,1.3527351182555436
2014-02-28,1.3574633996739516
2014-03-31,1.3611908147452827
2014-04-30,1.3628012680201276
2014-05-31,1.3651611897375944
2014-06-30,1.3667676467834662
2014-07-31,1.3680946783189727
2014-08-31,1.3680946783189727
2014-09-30,1.3680946783189727
2014-10-31,1.3680946783189727
2014-11-30,1.3704372652211205
2014-12-31,1.3704372652211205
2015-01-31,1.3704372652211205
2015-02-28,1.3760372456649055
2015-03-31,1.3779114361569318
2015-04-30,1.3816444497457643
2015-05-31,1.3819939858879995
2015-06-30,1.3819939858879995
2015-07-31,1.3819939858879995
2015-08-31,1.3819939858879995
2015-09-30,1.3819939858879995
2015-10-31,1.3827811012481055
2015-11-30,1.3887816764066498
2015-12-31,1.3887816764066498
2016-01-31,1.3887816764066498
2016-02-29,1.3887816764066498
2016-03-31,1.4130297215873575
2016-04-30,1.432630749406676
2016-05-31,1.432630749406676
2016-06-30,1.432630749406676
2016-07-31,1.4419907908584377
2016-08-31,1.4481829221807
2016-09-30,1.4511992595556957
2016-10-31,1.4565901237216008
2016-11-30,1.4657615469525735
2016-12-31,1.4734653932674588
2017-01-31,1.4807381826941637
2017-02-28,1.4866432573388768
2017-03-31,1.4888831162871443
2017-04-30,1.4966519920424548
2017-05-31,1.4966519920424548
2017-06-30,1.5038517870774273
2017-07-31,1.5090264547981138
2017-08-31,1.5090264547981138
2017-09-30,1.5119497901481853
2017-10-31,1.51908007919316
2017-11-30,1.522184821336973
