Date,perfect_foresight_equity
2003-12-05,1.0
2003-12-12,1.0029438222615148
2003-12-19,1.0045547518512368
2003-12-26,1.0045547518512368
2004-01-02,1.0059941927970135
2004-01-09,1.0059941927970135
2004-01-16,1.0086391312734293
2004-01-23,1.0101898514922139
2004-01-30,1.0101898514922139
2004-02-06,1.0101898514922139
2004-02-13,1.0113610683657857
2004-02-20,1.0113610683657857
2004-02-27,1.011753782279184
2004-03-05,1.011753782279184
2004-03-12,1.011753782279184
2004-03-19,1.011753782279184
2004-03-26,1.0122511633753668
2004-04-02,1.0135922530259673
2004-04-09,1.0135922530259673
2004-04-16,1.0141488837313937
2004-04-23,1.0155190539562537
2004-04-30,1.0155190539562537
2004-05-07,1.01668181676577
2004-05-14,1.01668181676577
2004-05-21,1.01668181676577
2004-05-28,1.01668181676577
2004-06-04,1.017362472586087
2004-06-11,1.0174128152094757
2004-06-18,1.0180749440510302
2004-06-25,1.0180749440510302
2004-07-02,1.0180749440510302
2004-07-09,1.0182348292717147
2004-07-16,1.0182348292717147
2004-07-23,1.0189787163621518
2004-07-30,1.0199721398356676
2004-08-06,1.0199721398356676
2004-08-13,1.0208903560585436
2004-08-20,1.0212737845469453
2004-08-27,1.0214933695026978
2004-09-03,1.0221694659197438
2004-09-10,1.0221694659197438
2004-09-17,1.0226461234799886
2004-09-24,1.0226461234799886
2004-10-01,1.022919072476901
2004-10-08,1.022919072476901
2004-10-15,1.0233470964131943
2004-10-22,1.0233470964131943
2004-10-29,1.023838191911831
2004-11-05,1.0256645275439575
2004-11-12,1.0256645275439575
2004-11-19,1.0274468376685013
2004-11-26,1.0275935760718033
2004-12-03,1.0281490340160464
2004-12-10,1.028840021250835
2004-12-17,1.030753393339821
2004-12-24,1.0312622095437225
2004-12-31,1.0312622095437225
2005-01-07,1.0320847649072986
2005-01-14,1.0320847649072986
2005-01-21,1.0320847649072986
2005-01-28,1.0320847649072986
2005-02-04,1.0324012347544762
2005-02-11,1.0335051109839943
2005-02-18,1.0344005882986846
2005-02-25,1.0345552304935328
2005-03-04,1.035725747711618
2005-03-11,1.0365180579622109
2005-03-18,1.0365180579622109
2005-03-25,1.0365180579622109
2005-04-01,1.0365180579622109
2005-04-08,1.036671071200529
2005-04-15,1.036671071200529
2005-04-22,1.037861334292959
2005-04-29,1.0381524468324328
2005-05-06,1.038744367349352
2005-05-13,1.038744367349352
2005-05-20,1.03974152655779
2005-05-27,1.0403470015375365
2005-06-03,1.0425380261852593
2005-06-10,1.0429397674806913
2005-06-17,1.042939767480691
2005-06-24,1.0437218098506418
2005-07-01,1.0440988323407996
2005-07-08,1.0458595443411078
2005-07-15,1.047297083795173
2005-07-22,1.0472970837951732
2005-07-29,1.047844412416279
2005-08-05,1.0486431732799295
2005-08-12,1.048857286478355
2005-08-19,1.0506494546741185
2005-08-26,1.0507809201987828
2005-09-02,1.0507809201987828
2005-09-09,1.0507809201987828
2005-09-16,1.0507809201987828
2005-09-23,1.0507809201987828
2005-09-30,1.0509131301300336
2005-10-07,1.0509131301300336
2005-10-14,1.0509131301300336
2005-10-21,1.0509131301300336
2005-10-28,1.0509131301300336
2005-11-04,1.0509131301300336
2005-11-11,1.0509131301300336
2005-11-18,1.0509131301300336
2005-11-25,1.0509131301300336
2005-12-02,1.050930176718537
2005-12-09,1.050930176718537
2005-12-16,1.051252538563614
2005-12-23,1.051363988675606
2005-12-30,1.0517410251465698
2006-01-06,1.0519395517824761
2006-01-13,1.0519395517824761
2006-01-20,1.0519395517824761
2006-01-27,1.0521861718768388
2006-02-03,1.0524637878818324
2006-02-10,1.052792091936265
2006-02-17,1.052792091936265
2006-02-24,1.052792091936265
2006-03-03,1.052792091936265
2006-03-10,1.052826463505707
2006-03-17,1.0528264635057067
2006-03-24,1.053078584663183
2006-03-31,1.0533344471161028
2006-04-07,1.0538073573990703
2006-04-14,1.0540013988968528
2006-04-21,1.0540013988968528
2006-04-28,1.0541514742993223
2006-05-05,1.0544708904017135
