Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Duration,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1060.5713509982097,2009-04-30,94.2888,0.0,2010-06-30,426,96.681,0.0,2537.098785857932,0.03,Long,Closed,0
1,0,1060.417796016939,2010-07-02,96.695,0.0,2011-08-12,406,98.6908,0.0,2116.38183729061,0.02,Long,Closed,1
2,0,1057.490406846414,2011-08-15,98.964,0.0,2011-09-13,29,98.0833,0.0,-931.3318013096432,-0.01,Long,Closed,2
3,0,1054.4951736580817,2011-09-15,98.3619,0.0,2011-11-23,69,97.9115,0.0,-474.94462621559796,-0.0,Long,Closed,3
4,0,1054.4951736580817,2011-11-24,97.9115,0.0,2014-01-24,792,104.5992,0.0,7052.147372873151,0.07,Long,Closed,4
5,0,1053.0565223391209,2014-01-28,104.7421,0.0,2014-12-12,318,105.9748,0.0,1298.1027750874491,0.01,Long,Closed,5
6,0,1051.5413473754104,2014-12-17,106.1275,0.0,2015-01-06,20,106.0722,0.0,-58.15023650987132,-0.0,Long,Closed,6
7,0,1050.7320419416903,2015-01-07,106.1539,0.0,2015-07-08,182,106.3311,0.0,186.18971783207962,0.0,Long,Closed,7
8,0,1048.756458892928,2015-07-10,106.5314,0.0,2015-12-14,157,105.8465,0.0,-718.2932986957603,-0.01,Long,Closed,8
9,0,1047.6083569773298,2015-12-15,105.9625,0.0,2016-01-13,29,105.3624,0.0,-628.669775022121,-0.01,Long,Closed,9
10,0,1047.2624581221153,2016-01-14,105.3972,0.0,2016-02-11,28,104.4743,0.0,-966.5185226009053,-0.01,Long,Closed,10
11,0,1045.9529432942306,2016-02-12,104.6051,0.0,2018-02-08,727,109.2918,0.0,4902.067659337074,0.04,Long,Closed,11
12,0,1044.249341947476,2018-02-14,109.4701,0.0,2018-11-21,280,109.4404,0.0,-31.014205455838237,-0.0,Long,Closed,12
13,0,1044.249341947476,2018-11-22,109.4404,0.0,2018-12-21,29,108.8165,0.0,-651.50716444102,-0.01,Long,Closed,13
14,0,1041.8461825752634,2018-12-31,109.0675,0.0,2020-02-28,424,111.6939,0.0,2736.3048139156745,0.02,Long,Closed,14
15,0,1040.973841725982,2020-03-04,111.7875,0.0,2020-03-24,20,110.0442,0.0,-1814.7296982808912,-0.02,Long,Closed,15
16,0,1040.889658116512,2020-03-30,110.0531,0.0,2020-04-17,18,111.2634,0.0,1259.788753218425,0.01,Long,Closed,16
17,0,1044.2270280979403,2020-04-23,110.9078,0.0,2022-05-09,746,111.9492,0.0,1087.458027061206,0.01,Long,Closed,17
18,0,1043.2280567102098,2022-05-12,112.0564,0.0,2022-06-21,40,111.6133,0.0,-462.2543519282917,-0.0,Long,Closed,18
19,0,1044.0418633274273,2022-06-22,111.5263,0.0,2022-09-27,97,111.5352,0.0,9.291972583610914,0.0,Long,Closed,19
20,0,1042.4847051220058,2022-09-30,111.7018,0.0,2023-03-15,166,113.1551,0.0,1515.0430219538102,0.01,Long,Closed,20
21,0,1039.8546301615997,2023-03-16,113.4413,0.0,2024-09-06,540,116.7005,0.0,3389.094210622701,0.03,Long,Closed,21
22,0,1038.6602205267252,2024-09-09,116.8347,0.0,2025-03-12,184,117.1687,0.0,346.9125136559305,0.0,Long,Closed,22
23,0,1038.4616901866243,2025-03-14,117.1911,0.0,2025-04-03,20,116.8069,0.0,-398.97698136970575,-0.0,Long,Closed,23
24,0,1040.3052729844537,2025-04-14,116.5999,0.0,2025-11-05,205,118.126,0.0,1587.6098771015822,0.01,Long,Open,24
