Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Duration,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1036.604580962964,2009-07-24,96.4688,0.0,2011-10-06,804,98.0609,0.0,1650.3781533511356,0.02,Long,Closed,0
1,0,1026.8492881112318,2011-10-31,98.9925,0.0,2012-06-08,221,99.7355,0.0,762.9490210666409,0.01,Long,Closed,1
2,0,1015.4280074364252,2012-08-31,100.8573,0.0,2019-08-29,2554,111.6647,0.0,10974.136647568419,0.11,Long,Closed,2
3,0,1007.9736850843955,2020-01-31,112.4905,0.0,2020-10-29,272,111.5229,0.0,-975.3153376876435,-0.01,Long,Closed,3
4,0,1008.2286286639503,2020-10-31,111.4947,0.0,2022-04-07,523,112.9928,0.0,1510.4273086014728,0.01,Long,Closed,4
5,0,992.72185239609,2023-07-13,114.7578,0.0,2023-09-11,60,114.9694,0.0,210.05994396700407,0.0,Long,Closed,5
6,0,988.510536508715,2023-11-30,115.4592,0.0,2024-02-26,88,116.1532,0.0,686.0263123370532,0.01,Long,Closed,6
7,0,986.0156418597292,2024-03-20,116.4471,0.0,2024-06-05,77,116.6789,0.0,228.55842578307784,0.0,Long,Closed,7
8,0,987.4924936310315,2024-06-26,116.5044,0.0,2024-08-22,57,116.8095,0.0,301.283959806824,0.0,Long,Closed,8
9,0,986.5170360042247,2024-08-31,116.925,0.0,2025-11-05,431,118.126,0.0,1184.8069602410833,0.01,Long,Open,9
