Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Duration,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1060.5713509982097,2009-04-30,94.2888,0.0,2009-06-08,39,96.0668,0.0,1885.6958620748337,0.02,Long,Closed,0
1,0,1060.5956394142568,2009-06-10,96.0646,0.0,2009-08-07,58,97.0788,0.0,1075.6560974939493,0.01,Long,Closed,1
2,0,1064.820752971952,2009-08-13,96.6936,0.0,2010-01-06,146,98.2601,0.0,1668.0417095305456,0.02,Long,Closed,2
3,0,1065.4778656622416,2010-01-12,98.1995,0.0,2010-04-16,94,98.1315,0.0,-72.45249486503599,-0.0,Long,Closed,3
4,0,1070.442206860964,2010-04-27,97.6764,0.0,2010-08-02,97,97.8247,0.0,158.74657927748922,0.0,Long,Closed,4
5,0,1072.7681442099868,2010-08-06,97.6126,0.0,2011-09-19,409,98.2662,0.0,701.161259055647,0.01,Long,Closed,5
6,0,1079.092284623626,2011-09-22,97.6903,0.0,2012-02-06,137,100.4923,0.0,3023.616581515409,0.03,Long,Closed,6
7,0,1080.9057639828156,2012-02-10,100.3237,0.0,2013-01-04,329,102.3289,0.0,2167.4322379383375,0.02,Long,Closed,7
8,0,1081.4246589455704,2013-01-09,102.2798,0.0,2013-03-08,58,102.7141,0.0,469.66272938007023,0.0,Long,Closed,8
9,0,1080.2908773461804,2013-03-15,102.8219,0.0,2014-11-25,620,106.5422,0.0,4019.0061509909865,0.04,Long,Closed,9
10,0,1081.2092875209341,2014-12-01,106.4517,0.0,2015-02-25,86,106.6706,0.0,236.67671303832321,0.0,Long,Closed,10
11,0,1081.2072603320737,2015-03-06,106.6708,0.0,2015-04-24,49,106.8062,0.0,146.39546304896066,0.0,Long,Closed,11
12,0,1082.48833320347,2015-05-05,106.6798,0.0,2015-06-02,28,106.7304,0.0,54.77390966009989,0.0,Long,Closed,12
13,0,1083.6041173896167,2015-06-04,106.6205,0.0,2015-06-24,20,106.6096,0.0,-11.811284879542654,-0.0,Long,Closed,13
14,0,1086.021469059709,2015-06-29,106.3723,0.0,2015-07-17,18,106.7365,0.0,395.52901903155725,0.0,Long,Closed,14
15,0,1088.0091845176917,2015-07-23,106.5415,0.0,2015-10-29,98,106.4619,0.0,-86.60553108761087,-0.0,Long,Closed,15
16,0,1088.1389902526655,2015-10-30,106.4492,0.0,2016-03-14,136,106.4661,0.0,18.389548935258063,0.0,Long,Closed,16
17,0,1090.4865875241023,2016-03-22,106.2369,0.0,2016-10-20,212,107.3216,0.0,1182.850801487395,0.01,Long,Closed,17
18,0,1090.3169264989915,2016-10-24,107.3383,0.0,2018-01-31,464,109.925,0.0,2820.3227937749325,0.02,Long,Closed,18
19,0,1090.609607721896,2018-02-01,109.8955,0.0,2018-10-01,242,110.3768,0.0,524.910404196562,0.0,Long,Closed,19
20,0,1091.816397559092,2018-10-04,110.2548,0.0,2019-07-03,272,111.6454,0.0,1518.2798824456695,0.01,Long,Closed,20
21,0,1091.816397559092,2019-07-04,111.6454,0.0,2019-07-24,20,111.8104,0.0,180.1497055972577,0.0,Long,Closed,21
22,0,1093.4094192672571,2019-07-29,111.6475,0.0,2020-04-14,260,111.5289,0.0,-129.67835712509986,-0.0,Long,Closed,22
23,0,1099.4355249348705,2020-04-20,110.9176,0.0,2020-06-16,57,112.4128,0.0,1643.8759968826344,0.01,Long,Closed,23
24,0,1100.7731449532369,2020-06-17,112.2762,0.0,2020-08-05,49,112.7355,0.0,505.58510547701735,0.0,Long,Closed,24
25,0,1101.670229962933,2020-08-11,112.6437,0.0,2020-08-31,20,112.7811,0.0,151.36948959690926,0.0,Long,Closed,25
26,0,1103.584212642592,2020-09-08,112.5855,0.0,2020-12-03,86,112.467,0.0,-130.7747291981359,-0.0,Long,Closed,26
27,0,1104.2037299708854,2020-12-07,112.4039,0.0,2021-09-22,289,113.3822,0.0,1080.2425090305187,0.01,Long,Closed,27
28,0,1104.5476157910355,2021-09-28,113.3469,0.0,2021-11-04,37,113.5001,0.0,169.21669473918155,0.0,Long,Closed,28
29,0,1105.8629582388594,2021-11-24,113.3651,0.0,2022-01-03,40,113.6354,0.0,298.91475761197216,0.0,Long,Closed,29
30,0,1107.0456472739581,2022-01-05,113.514,0.0,2022-02-14,40,112.7167,0.0,-882.6474945715163,-0.01,Long,Closed,30
31,0,1107.189059565745,2022-02-17,112.7021,0.0,2022-04-07,49,112.9928,0.0,321.8598596157681,0.0,Long,Closed,31
32,0,1109.5132943556962,2022-04-11,112.7561,0.0,2025-09-18,1256,118.2482,0.0,6093.557963930914,0.05,Long,Closed,32
33,0,1110.2324918477132,2025-09-22,118.17160000000001,0.0,2025-11-05,44,118.126,0.0,-50.62660162826069,-0.0,Long,Open,33
