Metric,Strategy,Buy_and_Hold,Difference
Annual Return (%),9.602566869602347,7.463410284176186,2.1391565854261607
Total Return (%),17095.52792494213,5586.917308471829,11508.610616470301
Sharpe Ratio,0.8139665296194271,0.5479464224062967,0.2660201072131304
Max Drawdown (%),30.169799878714375,52.55586105409906,-22.386061175384686
Calmar Ratio,0.31828407573817635,0.14200909536033715,0.1762749803778392
Win Rate (%),58.620689655172406,0.0,58.620689655172406
Number of Trades,29.0,1.0,28.0
Market Exposure (%),77.15959004392387,100.0,-22.84040995607613
