Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Duration,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1031.8224357406784,2010-05-27,96.9159,0.0,2010-08-03,68,97.7718,0.0,883.1368227504427,0.01,Long,Closed,0
1,0,1035.3104687769437,2010-08-19,97.4424,0.0,2010-09-17,29,97.7293,0.0,297.03057349208393,0.0,Long,Closed,1
2,0,1036.3709193473942,2010-09-27,97.6293,0.0,2010-10-15,18,98.2067,0.0,598.4005688311736,0.01,Long,Closed,2
3,0,1033.211527760197,2011-10-14,98.507,0.0,2012-01-30,108,100.1167,0.0,1663.1605962355825,0.02,Long,Closed,3
4,0,976.1720291498114,2014-10-02,105.9667,0.0,2014-10-22,20,106.0984,0.0,128.56185623903002,0.0,Long,Closed,4
5,0,976.3643601852262,2015-01-20,106.0775,0.0,2015-02-06,17,106.4174,0.0,331.8662460269552,0.0,Long,Closed,5
6,0,974.4789053009548,2015-06-10,106.6233,0.0,2016-03-17,281,106.5588,0.0,-62.85388939190307,-0.0,Long,Closed,6
7,0,948.9853243897755,2018-02-12,109.4214,0.0,2018-04-19,66,109.7444,0.0,306.52225977789203,0.0,Long,Closed,7
8,0,950.5756167713387,2018-06-01,109.5608,0.0,2018-07-30,59,109.9986,0.0,416.1620050224883,0.0,Long,Closed,8
9,0,951.282168974778,2018-08-16,109.9169,0.0,2018-09-14,29,110.2555,0.0,322.10414241485705,0.0,Long,Closed,9
10,0,952.5668821671197,2018-10-16,110.1068,0.0,2019-03-21,156,110.7287,0.0,592.4013440197159,0.01,Long,Closed,10
11,0,950.060642018598,2020-05-11,111.0208,0.0,2020-06-08,28,112.5338,0.0,1437.44175137415,0.01,Long,Closed,11
12,0,944.7573180588828,2021-08-05,113.1655,0.0,2021-09-03,29,113.3633,0.0,186.87299751205137,0.0,Long,Closed,12
13,0,945.9196572661675,2021-12-06,113.224,0.0,2021-12-24,18,113.5904,0.0,346.5849624223338,0.0,Long,Closed,13
14,0,950.1160791195484,2022-01-31,113.0887,0.0,2022-11-17,290,113.1,0.0,10.736311694039614,0.0,Long,Closed,14
15,0,939.3217687495764,2023-10-25,114.3997,0.0,2023-11-14,20,115.2783,0.0,825.2881060233776,0.01,Long,Closed,15
16,0,921.9603781931432,2025-03-04,117.4491,0.0,2025-07-08,126,117.8638,0.0,382.3369688366947,0.0,Long,Closed,16
