iteration,name,cagr,outperformance,sharpe,max_dd,trades,target_achieved,cagr_pct,outperf_pct,max_dd_pct
2,Iteration2_MomentumMeanReversion,0.013908518866453168,0.0008143377313540867,0.9188261934107617,-0.02237456067591308,57,False,1.3908518866453168,0.08143377313540867,-2.237456067591308
3,Iteration3_VIXSpreadRegime,0.008896300978048721,-0.00419788015705036,0.7113553287256241,-0.027202050516350884,80,False,0.8896300978048721,-0.419788015705036,-2.720205051635088
4,Iteration4_EconomicRegime,0.008870481081659554,-0.0042237000534395275,0.5661546275785437,-0.04478791643369633,10,False,0.8870481081659554,-0.42237000534395275,-4.478791643369633
5,Iteration5_CarryMomentum,0.004765425500498299,-0.008328755634600782,0.5112227180224561,-0.027731608315828587,63,False,0.4765425500498299,-0.8328755634600782,-2.773160831582859
6,Iteration6_TrendFollowing,0.005576376525691762,-0.007517804609407319,0.5427785339030452,-0.027833150256980948,37,False,0.5576376525691762,-0.7517804609407319,-2.7833150256980947
