Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,964.9008704768249,2004-12-03,103.63758916559274,0.0,2005-04-15,103.6673108548345,0.0,28.67848382140801,0.00028678483821408007,Long,Closed,0
1,0,963.7942815173618,2005-04-22,103.7863373979974,0.0,2005-09-30,104.70601020998416,0.0,886.3753970598191,0.008861212709145017,Long,Closed,1
2,0,965.8207947046684,2005-12-09,104.48631302429074,0.0,2006-03-10,104.51265011467652,0.0,25.4369095666043,0.00025206258717980456,Long,Closed,2
3,0,966.2909557152211,2006-03-17,104.46179817106386,0.0,2006-05-12,104.65031352337785,0.0,182.16067995448248,0.001804634379405263,Long,Closed,3
4,0,966.6969153744634,2006-05-26,104.60636613413736,0.0,2006-06-09,104.58098355760688,0.0,-24.537258436263073,-0.0002426484875492501,Long,Closed,4
5,0,967.8875958505622,2006-06-30,104.4523296355739,0.0,2006-07-14,104.47588751918003,0.0,22.801383326863288,0.00022553717746957242,Long,Closed,5
6,0,967.8973801328848,2006-07-21,104.47483139318943,0.0,2007-03-02,105.6065261536041,0.0,1095.3643937154702,0.010832223850695221,Long,Closed,6
7,0,967.4439351781231,2007-03-09,105.65602436712636,0.0,2007-03-16,105.57942414992642,0.0,-74.10641556340852,-0.0007249962097170568,Long,Closed,7
8,0,967.7368930346431,2007-03-23,105.54746265087208,0.0,2007-03-30,105.46814633790268,0.0,-76.75732227995468,-0.0007514753171447109,Long,Closed,8
9,0,973.468577932517,2007-05-25,104.84716051948462,0.0,2007-06-08,104.8937426146808,0.0,45.34620596775494,0.0004442857104130738,Long,Closed,9
10,0,989.1093560793921,2007-10-05,103.23505872179489,0.0,2007-10-19,102.93942748854596,0.0,-292.4116187558102,-0.0028636708973607734,Long,Closed,10
11,0,1003.607391385751,2007-12-21,101.45237242403051,0.0,2007-12-28,101.3585355261976,0.0,-94.17540424982144,-0.0009249354706138614,Long,Closed,11
