Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Duration,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1060.5713509982097,2009-04-30,94.2888,0.0,2009-07-27,88,96.6657,0.0,2520.8720441876503,0.03,Long,Closed,0
1,0,1061.3761749805124,2009-07-28,96.5924,0.0,2009-09-15,49,97.2318,0.0,678.6439262825588,0.01,Long,Closed,1
2,0,1062.3824859503395,2009-09-24,97.1397,0.0,2009-12-30,97,97.9087,0.0,816.9721316958021,0.01,Long,Closed,2
3,0,1061.5422182120135,2010-01-15,97.9862,0.0,2010-04-12,87,98.2462,0.0,276.00097673512937,0.0,Long,Closed,3
4,0,1071.2355026531282,2010-05-05,97.3572,0.0,2010-11-04,183,98.8703,0.0,1620.8864390644303,0.02,Long,Closed,4
5,0,1073.2643536599423,2010-11-09,98.6834,0.0,2011-02-04,87,99.2963,0.0,657.8037223581778,0.01,Long,Closed,5
6,0,1075.1841648959708,2011-02-23,99.119,0.0,2011-05-20,86,99.6492,0.0,570.0626442278444,0.01,Long,Closed,6
7,0,1075.964826024425,2011-06-01,99.5769,0.0,2011-06-30,29,99.6528,0.0,81.66573029526626,0.0,Long,Closed,7
8,0,1075.9615868934015,2011-07-08,99.6531,0.0,2011-07-28,20,99.545,0.0,-116.31144754316483,-0.0,Long,Closed,8
9,0,1092.3158746994395,2011-09-09,98.0546,0.0,2011-10-28,49,99.3057,0.0,1366.5963908364793,0.01,Long,Closed,9
10,0,1095.771826735764,2011-10-31,98.9925,0.0,2012-03-23,144,100.9303,0.0,2123.3866458485572,0.02,Long,Closed,10
11,0,1095.5395422166114,2012-03-31,100.9517,0.0,2013-05-13,408,103.6298,0.0,2933.964448010316,0.03,Long,Closed,11
12,0,1096.5246492499666,2013-05-24,103.5367,0.0,2013-07-22,59,103.8085,0.0,298.0353996661288,0.0,Long,Closed,12
13,0,1097.7015681394016,2013-07-23,103.6972,0.0,2013-12-24,154,105.043,0.0,1477.2867704020173,0.01,Long,Closed,13
14,0,1098.2400082108281,2013-12-30,104.9915,0.0,2014-06-23,175,106.1394,0.0,1260.6697054252,0.01,Long,Closed,14
15,0,1099.5089983530206,2014-06-30,106.0169,0.0,2015-02-25,240,106.6706,0.0,718.7490322233498,0.01,Long,Closed,15
16,0,1100.2506086820545,2015-03-09,106.5987,0.0,2015-04-07,29,106.826,0.0,250.0869633534312,0.0,Long,Closed,16
17,0,1101.874136560048,2015-04-17,106.6686,0.0,2015-05-27,40,106.7752,0.0,117.4597829573031,0.0,Long,Closed,17
18,0,1104.558589072094,2015-06-08,106.5157,0.0,2015-07-16,38,106.7637,0.0,273.930530089885,0.0,Long,Closed,18
19,0,1108.676000083826,2015-07-27,106.3672,0.0,2015-10-22,87,106.3651,0.0,-2.3282196001673583,-0.0,Long,Closed,19
20,0,1108.7739878212092,2015-11-11,106.3557,0.0,2015-12-01,20,106.4285,0.0,80.71874631337414,0.0,Long,Closed,20
21,0,1111.3615973790863,2015-12-09,106.1807,0.0,2015-12-29,20,106.1018,0.0,-87.68643003320904,-0.0,Long,Closed,21
22,0,1119.160781576695,2016-01-13,105.3624,0.0,2016-04-19,97,106.5693,0.0,1350.7151472849218,0.01,Long,Closed,22
23,0,1119.391867087024,2016-04-28,106.5473,0.0,2018-01-08,620,109.9927,0.0,3856.752738861629,0.03,Long,Closed,23
24,0,1121.6240470762868,2018-02-02,109.7738,0.0,2018-09-13,223,110.2542,0.0,538.828192215442,0.0,Long,Closed,24
25,0,1122.058605600671,2018-09-17,110.2115,0.0,2018-12-03,77,109.6608,0.0,-617.9176741043048,-0.0,Long,Closed,25
26,0,1124.4857790656176,2018-12-04,109.4241,0.0,2019-07-04,212,111.6454,0.0,2497.820261038447,0.02,Long,Closed,26
27,0,1125.0571482425414,2019-07-05,111.5887,0.0,2019-07-25,20,111.7294,0.0,158.29554075772467,0.0,Long,Closed,27
28,0,1126.9665361502296,2019-07-31,111.5401,0.0,2020-04-16,260,111.1876,0.0,-397.2557039929525,-0.0,Long,Closed,28
29,0,1129.709842575545,2020-04-20,110.9176,0.0,2020-06-05,46,112.6187,0.0,1921.749413205267,0.02,Long,Closed,29
30,0,1133.6002844821944,2020-06-09,112.2322,0.0,2020-08-06,58,112.7629,0.0,601.6016709746909,0.0,Long,Closed,30
31,0,1134.7998646976018,2020-08-11,112.6437,0.0,2020-08-31,20,112.7811,0.0,155.9215014094516,0.0,Long,Closed,31
32,0,1143.7710475345225,2020-09-23,111.8965,0.0,2020-11-30,68,112.438,0.0,619.3520222399384,0.0,Long,Closed,32
33,0,1144.8951908763886,2020-12-09,112.3276,0.0,2021-02-15,68,112.5429,0.0,246.4959345956886,0.0,Long,Closed,33
34,0,1146.6200689243944,2021-02-22,112.3736,0.0,2021-04-29,66,112.9693,0.0,683.0415750582615,0.01,Long,Closed,34
35,0,1146.8078716781165,2021-04-30,112.9508,0.0,2021-06-29,60,113.1933,0.0,278.10090888192644,0.0,Long,Closed,35
36,0,1147.3278487318814,2021-07-15,113.142,0.0,2021-09-01,48,113.3998,0.0,295.7811194030801,0.0,Long,Closed,36
37,0,1147.6972581128603,2021-09-03,113.3633,0.0,2021-09-23,20,113.4169,0.0,61.51657303485263,0.0,Long,Closed,37
38,0,1148.4060451027813,2021-09-28,113.3469,0.0,2021-11-15,48,113.4922,0.0,166.8633983534237,0.0,Long,Closed,38
39,0,1152.1255854280266,2021-11-26,113.1258,0.0,2021-12-27,31,113.6626,0.0,618.4610142577731,0.0,Long,Closed,39
40,0,1161.944538444906,2022-02-17,112.7021,0.0,2022-03-29,40,113.0879,0.0,448.27820293203695,0.0,Long,Closed,40
41,0,1165.7638285588887,2022-04-18,112.7174,0.0,2022-08-10,114,112.838,0.0,140.5911177241942,0.0,Long,Closed,41
42,0,1165.2836207533173,2022-08-16,112.88450000000002,0.0,2022-12-01,107,113.4608,0.0,671.5529506401217,0.01,Long,Closed,42
43,0,1166.86843617869,2022-12-05,113.3067,0.0,2023-09-01,270,114.9498,0.0,1917.2815274851746,0.01,Long,Closed,43
44,0,1167.4635948188647,2023-09-06,114.89120000000001,0.0,2024-05-23,260,116.6108,0.0,2007.5703976505029,0.01,Long,Closed,44
45,0,1167.3094361533144,2024-06-04,116.62619999999998,0.0,2024-07-11,37,116.8222,0.0,228.79264948604396,0.0,Long,Closed,45
46,0,1168.1824065655576,2024-07-19,116.7349,0.0,2024-12-02,136,117.3976,0.0,774.1544808309991,0.01,Long,Closed,46
47,0,1169.6350153517533,2024-12-18,117.2518,0.0,2025-02-14,58,117.5494,0.0,348.08338056868524,0.0,Long,Closed,47
48,0,1170.937945722308,2025-03-03,117.4186,0.0,2025-03-21,18,117.172,0.0,-288.7532974151254,-0.0,Long,Closed,48
49,0,1169.5006731918431,2025-03-24,117.316,0.0,2025-10-31,221,118.1897,0.0,1021.7927381677146,0.01,Long,Closed,49
50,0,1170.1313319196618,2025-11-04,118.12600000000002,0.0,2025-11-05,1,118.126,0.0,0.0,0.0,Long,Open,50
